method,input_idx,parent_smiles,nearest_fullgraph_rank,nearest_fullgraph_smiles,nearest_distance_proxy,fullgraph_cf_flip,mcs_num_atoms,mcs_num_bonds,deleted_motif_smiles,canonical_motif_smiles,motif_atom_count,motif_bond_count,component_count,valid_motif,failure_reason
gt_fullgraph_greedy,0,O=C(O)Cc1ccc(SSc2ccc(CC(=O)O)cc2)cc1,19,N#CC(=Cc1ccccc1)c1ccccc1,0.5897435897435898,True,8,8,O=C(O)Cc1ccc(SS)cc1,O=C(O)Cc1ccc(SS)cc1,12,12,3,True,ok
gt_fullgraph_greedy,1,NNP(=S)(NN)c1ccccc1,16,CC1=Nc2ccccc2NC(=O)C1,0.5294117647058824,True,6,6,NNP(=S)NN,NN[PH](=S)NN,6,5,1,True,ok
gt_fullgraph_greedy,2,O=Nc1ccc(O)c(N=O)c1O,18,Cl.Nc1ccccc1Sc1ccc(Cl)cc1,0.5,True,7,7,N=O,N=O,2,1,4,True,ok
gt_fullgraph_greedy,3,Oc1ccc(Cl)cc1C(c1cc(Cl)ccc1O)C(Cl)(Cl)Cl,2,CCCCCC=C(c1cc(C)c(OC)c(C(=O)OC)c1)c1cc(C)c(OC)c(C(=O)OC)c1,0.509090909090909,True,13,14,ClC(Cl)Cl,ClC(Cl)Cl,4,3,5,True,ok
gt_fullgraph_greedy,4,NNC(=O)c1ccccc1SSc1ccccc1C(=O)NN,18,Cl.Nc1ccccc1Sc1ccc(Cl)cc1,0.6363636363636364,True,7,7,NNC(=O)c1ccccc1S,NNC(=O)c1ccccc1S,11,11,2,True,ok
gt_fullgraph_greedy,5,O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1SSc1ccccc1C(=O)NN=Cc1ccc(Cl)cc1Cl,18,Cl.Nc1ccccc1Sc1ccc(Cl)cc1,0.7565217391304347,True,7,7,O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1S,O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1S,20,21,2,True,ok
gt_fullgraph_greedy,6,S=c1[nH][nH]c(=S)s1,3,Nc1ccc2c(c1)nc1n2C(c2c(F)cccc2F)SC1,0.7627118644067796,True,4,3,S,S,1,0,3,False,motif_too_small
gt_fullgraph_greedy,7,Cc1cc(-c2ccc(N=Nc3cc(S(=O)(=O)O)c4ccccc4c3N)c(C)c2)ccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6336633663366337,True,18,19,Cc1ccccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,Cc1ccccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,24,26,4,True,ok
gt_fullgraph_greedy,8,Nc1ccc2ccccc2c1N=Nc1ccc(C=Cc2ccc(N=Nc3c(N)ccc4ccccc34)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.039603960396039604,True,46,51,N,N,1,0,2,False,motif_too_small
gt_fullgraph_greedy,9,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,20,COc1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12,0.39344262295081966,True,18,19,OCC1OCC(O)C(O)C1O,OCC1OCC(O)C(O)C1O,11,11,8,True,ok
gt_fullgraph_greedy,10,O=S(=O)(O)c1cc2ccc1C=Cc1ccc(cc1S(=O)(=O)O)N=Nc1ccc(c(S(=O)(=O)O)c1)C=Cc1ccc(cc1S(=O)(=O)O)N=N2,4,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.7333333333333333,True,9,9,C=Cc1ccc(cc1S(=O)(=O)O)N=Nc1ccc(c(S(=O)(=O)O)c1)C=Cc1ccc(cc1S(=O)(=O)O)N=N,C=Cc1ccc(N=Nc2ccc(C=Cc3ccc(N=N)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,38,40,2,True,ok
