method,target_label,k,theta,num_inputs,coverage,coverage_theta,coverage_unconstrained_flip,median_cost,mean_cost,median_cost_covered_only,mean_cf_drop,mean_cf_drop_covered_only,flip_rate,valid_recourse_rate,runtime_sec
ours_selected_subgraph,1,10,0.05,1443,0.015246015246015246,0.015246015246015246,0.8905058905058905,0.038404817500307234,0.03848780658248063,0.038404817500307234,0.5317042454059888,0.2936433467062837,0.8905058905058905,0.9708939708939709,10678.070375919342
ours_selected_subgraph,1,10,0.1,1443,0.07692307692307693,0.07692307692307693,0.8905058905058905,0.06666666666666667,0.06666819256575354,0.06666666666666667,0.5211614947321693,0.32182921494238814,0.8905058905058905,0.9708939708939709,10678.070375919342
ours_selected_subgraph,1,10,0.15,1443,0.15107415107415106,0.15107415107415106,0.8905058905058905,0.09887218045112782,0.09584128708107897,0.09887218045112782,0.5120107815221844,0.3817279240019476,0.8905058905058905,0.9708939708939709,10678.070375919342
ours_selected_subgraph,1,10,0.2,1443,0.23700623700623702,0.23700623700623702,0.8905058905058905,0.12871287128712872,0.12489578662829998,0.12871287128712872,0.5069794464974802,0.4081950653391499,0.8905058905058905,0.9708939708939709,10678.070375919342
ours_selected_subgraph,1,20,0.05,1443,0.01593901593901594,0.01593901593901594,0.9126819126819127,0.0379746835443038,0.038194685937417636,0.0379746835443038,0.5576281797077951,0.2958037809074598,0.9126819126819127,0.9743589743589743,10678.070375919342
ours_selected_subgraph,1,20,0.1,1443,0.08316008316008316,0.08316008316008316,0.9126819126819127,0.06776966556759303,0.0673667683338264,0.06776966556759303,0.5460280905510492,0.31958188800648,0.9126819126819127,0.9743589743589743,10678.070375919342
ours_selected_subgraph,1,20,0.15,1443,0.1690921690921691,0.1690921690921691,0.9126819126819127,0.10087619624775901,0.09719096594317278,0.10087619624775901,0.5350914010310778,0.36938489147403475,0.9126819126819127,0.9743589743589743,10678.070375919342
ours_selected_subgraph,1,20,0.2,1443,0.25571725571725573,0.25571725571725573,0.9126819126819127,0.1262135922330097,0.1238950412901686,0.1262135922330097,0.5294823506137022,0.4018699784315367,0.9126819126819127,0.9743589743589743,10678.070375919342
gt_fullgraph_greedy,1,10,0.05,1443,0.007623007623007623,0.007623007623007623,1.0,0.0425531914893617,0.040748331939433585,0.0425531914893617,0.5797627826894814,0.5430507992129465,1.0,1.0,10678.070375919342
gt_fullgraph_greedy,1,10,0.1,1443,0.02564102564102564,0.02564102564102564,1.0,0.06521739130434782,0.0678406769438723,0.06521739130434782,0.5797627826894814,0.5621968831372597,1.0,1.0,10678.070375919342
gt_fullgraph_greedy,1,10,0.15,1443,0.05751905751905752,0.05751905751905752,1.0,0.10734463276836158,0.10048069332338248,0.10734463276836158,0.5797627826894814,0.587738841975775,1.0,1.0,10678.070375919342
gt_fullgraph_greedy,1,10,0.2,1443,0.0984060984060984,0.0984060984060984,1.0,0.13906469760900142,0.13197558490343128,0.13906469760900142,0.5797627826894814,0.5815341532054671,1.0,1.0,10678.070375919342
gt_fullgraph_greedy,1,20,0.05,1443,0.009702009702009701,0.009702009702009701,1.0,0.041666666666666664,0.04000974380275224,0.041666666666666664,0.6004823760762684,0.5690637231911246,1.0,1.0,10678.070375919342
gt_fullgraph_greedy,1,20,0.1,1443,0.033264033264033266,0.033264033264033266,1.0,0.06521739130434782,0.06653029945098976,0.06521739130434782,0.6004823760762684,0.5719017640849711,1.0,1.0,10678.070375919342
gt_fullgraph_greedy,1,20,0.15,1443,0.07207207207207207,0.07207207207207207,1.0,0.10526315789473684,0.09861652477948094,0.10526315789473684,0.6004962360901284,0.5923300373460514,1.0,1.0,10678.070375919342
gt_fullgraph_greedy,1,20,0.2,1443,0.1295911295911296,0.1295911295911296,1.0,0.14285714285714285,0.1330940577834925,0.14285714285714285,0.6005401261340184,0.5805410860348111,1.0,1.0,10678.070375919342
