method,input_idx,parent_smiles,nearest_fullgraph_rank,nearest_fullgraph_smiles,nearest_distance_proxy,fullgraph_cf_flip,mcs_num_atoms,mcs_num_bonds,deleted_motif_smiles,canonical_motif_smiles,motif_atom_count,motif_bond_count,component_count,valid_motif,failure_reason
gt_fullgraph_greedy,0,O=C(O)Cc1ccc(SSc2ccc(CC(=O)O)cc2)cc1,1,Cc1ccc(Sc2ccccc2[N+](=O)[O-])cc1,0.6,True,8,8,O=C(O)Cc1ccc(S)cc1,O=C(O)Cc1ccc(S)cc1,11,11,2,True,ok
gt_fullgraph_greedy,1,NNP(=S)(NN)c1ccccc1,20,CC1=Nc2ccccc2NC(=O)C1,0.5294117647058824,True,6,6,NNP(=S)NN,NN[PH](=S)NN,6,5,1,True,ok
gt_fullgraph_greedy,2,O=Nc1ccc(O)c(N=O)c1O,1,Cc1ccc(Sc2ccccc2[N+](=O)[O-])cc1,0.4576271186440678,True,8,8,N=O,N=O,2,1,3,True,ok
gt_fullgraph_greedy,3,Oc1ccc(Cl)cc1C(c1cc(Cl)ccc1O)C(Cl)(Cl)Cl,2,COC(=O)c1cc(C(=CC=O)c2cc(Cl)c(OC)c(C(=O)OC)c2)cc(Cl)c1OC,0.40384615384615385,True,15,16,ClC(Cl)Cl,ClC(Cl)Cl,4,3,3,True,ok
gt_fullgraph_greedy,4,NNC(=O)c1ccccc1SSc1ccccc1C(=O)NN,17,O=C(Nc1ncnc2c1ncn2C1OC(CO)CC1F)c1ccccc1,0.64,True,9,9,NNC(=O)c1ccccc1SS,NNC(=O)c1ccccc1SS,12,12,2,True,ok
gt_fullgraph_greedy,5,O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1SSc1ccccc1C(=O)NN=Cc1ccc(Cl)cc1Cl,17,O=C(Nc1ncnc2c1ncn2C1OC(CO)CC1F)c1ccccc1,0.7391304347826086,True,9,9,O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1SS,O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1SS,21,22,2,True,ok
gt_fullgraph_greedy,6,S=c1[nH][nH]c(=S)s1,4,Cc1ccc2c(c1)nc1n2C(c2c(F)cccc2F)SC1,0.7627118644067796,True,4,3,S,S,1,0,3,False,motif_too_small
gt_fullgraph_greedy,7,Cc1cc(-c2ccc(N=Nc3cc(S(=O)(=O)O)c4ccccc4c3N)c(C)c2)ccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,3,Nc1c(N=Nc2ccc(C=Cc3ccc(N=Nc4cc(S(=O)(=O)O)c5cccnc5c4N)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc(S(=O)(=O)O)c2cccnc12.[NaH],0.589041095890411,True,22,23,Cc1ccccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,Cc1ccccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,24,26,3,True,ok
gt_fullgraph_greedy,8,Nc1ccc2ccccc2c1N=Nc1ccc(C=Cc2ccc(N=Nc3c(N)ccc4ccccc34)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,3,Nc1c(N=Nc2ccc(C=Cc3ccc(N=Nc4cc(S(=O)(=O)O)c5cccnc5c4N)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc(S(=O)(=O)O)c2cccnc12.[NaH],0.1963470319634703,True,43,45,cccc,,,,2,False,motif_parse_failed
gt_fullgraph_greedy,9,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,12,O=C1NC2(CCCCC2)C2CCCCCC12,0.44954128440366975,True,15,15,OCC1OC(O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O,12,12,8,True,ok
